Dep;Prov;casti;gas;sis;acsedu;habil
La Libertad;Pacasmayo;23759;25066;48846;30457;79705
La Libertad;Pataz;17526;6014;47224;25498;52983
La Libertad;Sanchez Carrion;33875;12691;114892;47764;110055
La Libertad;Santiago de Chuco;13560;2587;38084;1615;39189
La Libertad;Gran Chimu;189118;3368;19414;7382;790766
La Libertad;Viru;27807;16469;30972;26922;68712
Lambayeque;Chiclayo;191094;18887;317595;249378;669481
Lambayeque;Ferrenafe;26528;16413;65174;33153;78604
Lambayeque;Lambayeque;72162;47709;177404;94069;229571
Lima;Lima;36411;1838168;2335157;2660465;116953
Lima;Barranca;1437;36278;71313;43519;5620
Lima;Cajatambo;62459;609;4654;1952;180820
Lima;Canta;4398;2615;6882;3007;11546
Lima;Cañete;47573;59624;102487;75946;150797
Lima;Huaral;33291;4419;84842;53335;87022
Lima;Huarochiri;59687;12151;2904;16001;177424
Lima;Huaura;1938450;56121;9008;71276;7558581
Lima;Oyon;4419;2746;5818;4929;12601
Lima;Yauyos;7645;2657;11826;5017;21280
Loreto;Maynas;37196;68689;27549;165609;90033
Loreto;Alto Amazonas;11948;13622;94397;4372;41743
Loreto;Loreto;11058;3236;49678;23877;48852
Loreto;Mariscal Ramon Castilla;6172;2708;36463;18225;47277
Loreto;Requena;104623;2741;46388;23065;374577
Loreto;Ucayali;825;3781;40367;2213;6903
Loreto;Datem del Maranon;8780;2255;39995;18109;46054
Loreto;Putumayo;13163;427;6205;2755;44525
Madre de Dios;Tambopata;5913;25588;52966;37999;12413
Madre de Dios;Manu;3328;3214;9342;5292;7981
Madre de Dios;Tahuamanu;48146;2145;5599;3029;96119
Moquegua;Mariscal Nieto;7860;22561;30671;27697;13091
Moquegua;General Sanchez Cerro;30351;1981;8445;3575;63147
Moquegua;Ilo;42309;22269;23094;23941;72129
Pasco;Pasco;12965;2564;49868;41058;24010
Pasco;Daniel Alcides Carrion;18793;3112;32249;11544;73315
Pasco;Oxapampa;51093;12791;55354;27361;103357
Piura;Piura;37307;14739;334267;26168;98436
Piura;Ayabaca;36285;8635;98251;40943;90647
Piura;Huancabamba;38125;722;93748;37207;131526
Piura;Morropon;28079;24943;107944;48001;90955
Piura;Paita;150475;27302;59961;41512;580987
Piura;Sullana;16243;61501;158581;97069;53845
Piura;Talara;50265;33251;51551;43046;243023
Piura;Sechura;32122;1481;41264;27306;107029
Puno;Puno;75730;48611;94906;73646;98243
Puno;Azangaro;29851;15275;80683;34928;45084
Puno;Carabaya;42898;8844;48274;22925;60004
Puno;Chucuito;39090;14034;53647;22207;53327
Puno;El Collao;40688;13694;39235;16562;54989
Puno;Huancane;26417;11505;39234;14628;35855
Puno;Lampa;39150;7401;25906;11564;54677
Puno;Melgar;13967;12164;45405;22541;21352
Puno;Moho;121889;2351;14325;4395;182477
Puno;San Antonio de Putina;17280;6884;18395;8891;22609
Puno;San Roman;151974;78984;95169;107651;220844
Puno;Sandia;27808;7432;35268;13119;41947
Puno;Yunguyo;19071;766;19377;8629;30608
San Martin;Moyobamba;17096;22112;77465;39588;41349
San Martin;Bellavista;11569;7404;42126;17175;28470
San Martin;El Dorado;8189;3704;31172;11701;22093
San Martin;Huallaga;23338;4622;21124;813;64173
San Martin;Lamas;16963;10975;6647;25081;48315
San Martin;Mariscal Caceres;36838;10953;44044;20001;96987
San Martin;Picota;12310;5977;30344;12289;32215
San Martin;Rioja;40384;21761;84997;39757;99156
San Martin;San Martin;49503;4226;98822;61907;146743
San Martin;Tocache;25301;12041;4198;20217;56829
Tacna;Tacna;3725;85374;94275;96977;5893
Tacna;Candarave;5152;708;3629;1297;8544
Tacna;Jorge Basadre;141357;1751;2315;2752;262229
Tacna;Tarata;3989;633;39;1346;6308
Tumbes;Tumbes;3159;38232;87665;51537;15341
Tumbes;Contralmirante Villar;31485;4756;12402;6447;117309
Tumbes;Zarumilla;6820;12107;32122;15859;35121
Ucayali;Coronel Portillo;8287;73151;204158;129071;37838
Ucayali;Atalaya;89402;3814;34792;17266;299131
Ucayali;Padre Abad;23023;10056;38039;18736;49879
Ucayali;Purus;369;116;2164;1106;3041
