"Depa","Prov","habil","casti","gas","sis","acsedu"
"TACNA","JORGE BASADRE",8544,5152,1751,2315,7600
"LA LIBERTAD","JULCAN",24779,8611,3524,24393,17989
"JUNIN","JUNIN",17765,7902,5402,13363,15266
"CUSCO","LA CONVENCION",150555,80604,21308,93122,100071
"AYACUCHO","LA MAR",57117,31155,8378,59363,44101
"AREQUIPA","LA UNION",10910,5300,1785,9491,8421
"SAN MARTIN","LAMAS",64173,23338,10975,66470,51777
"LAMBAYEQUE","LAMBAYEQUE",229571,72162,47709,177404,186897
"PUNO","LAMPA",35855,26417,7401,25906,27337
"HUANUCO","LAURICOCHA",17578,8868,760,14182,11871
"HUANUCO","LEONCIO PRADO",100653,36550,22915,76464,80294
"LIMA","LIMA",7558581,1938450,1838168,2335157,5557095
"LORETO","LORETO",48852,11058,3236,49678,33744
"AYACUCHO","LUCANAS",35663,15932,7784,36246,34518
"AMAZONAS","LUYA",35017,12606,6339,36541,28215
"MADRE DE DIOS","MANU",12413,5913,3214,9342,12113
"HUANUCO","MARAÑON",20200,8579,1834,21963,15293
"SAN MARTIN","MARISCAL CACERES",48315,16963,10953,44044,40683
"ANCASH","MARISCAL LUZURIAGA",16100,8383,560,17682,12234
"MOQUEGUA","MARISCAL NIETO",72129,42309,22561,30671,54075
"LORETO","MARISCAL RAMON CASTILLA",47277,6172,2708,36463,27223
"LORETO","MAYNAS",374577,104623,68689,275490,287355
"PUNO","MELGAR",54677,39150,12164,45405,41674
"PUNO","MOHO",21352,13967,2351,14325,14800
"PIURA","MORROPON",131526,38125,24943,107944,105354
"SAN MARTIN","MOYOBAMBA",96987,36838,22112,77465,75845
"ICA","NASCA",57819,20001,15670,27089,45110
"ANCASH","OCROS",5468,1642,653,4524,4986
"LA LIBERTAD","OTUZCO",68814,22808,5238,57712,51750
"PASCO","OXAPAMPA",73315,18793,12791,55354,54943
"LIMA","OYON",12601,4419,2746,5818,11978
"LA LIBERTAD","PACASMAYO",79705,23759,25066,48846,67359
"HUANUCO","PACHITEA",41193,20480,4828,41230,30545
"UCAYALI","PADRE ABAD",49879,23023,10056,38039,37432
"PIURA","PAITA",90955,28079,27302,59961,80312
"ANCASH","PALLASCA",17769,7451,802,19206,14506
"ICA","PALPA",11991,4385,2735,7154,8701
"AYACUCHO","PARINACOCHAS",18008,8985,4748,19605,17631
"CUSCO","PARURO",24396,14739,2529,22122,16673
"PASCO","PASCO",103357,51093,25640,49868,75800
"LA LIBERTAD","PATAZ",52983,17526,6014,47224,45924
"AYACUCHO","PAUCAR DEL SARA SARA",6659,3051,1565,6759,6438
"CUSCO","PAUCARTAMBO",34593,23356,3481,36179,24691
"SAN MARTIN","PICOTA",32215,12310,5977,30344,25818
"ICA","PISCO",113273,42172,31368,51311,93753
"PIURA","PIURA",580987,150475,147390,334267,494541
"ANCASH","POMABAMBA",18893,9061,1072,20664,14612
"HUANUCO","PUERTO INCA",26435,9290,4089,21023,20734
"PUNO","PUNO",182477,121889,48611,94906,136909
"UCAYALI","PURUS",3041,369,116,2164,1558
"LORETO","PUTUMAYO",6903,825,427,6205,4449
"CUSCO","QUISPICANCHI",69572,45833,11125,66607,51555
"ANCASH","RECUAY",16039,7790,1838,12173,11434
"LORETO","REQUENA",46054,8780,2741,46388,31071
"SAN MARTIN","RIOJA",99156,40384,21761,84997,75324
"AMAZONAS","RODRIGUEZ DE MENDOZA",22886,7967,3781,20815,19725
"PUNO","SAN ANTONIO DE PUTINA",22609,17280,6884,18395,25786
"CAJAMARCA","SAN IGNACIO",103195,53076,13614,106271,78870
"CAJAMARCA","SAN MARCOS",39727,17596,4825,39033,31263
"SAN MARTIN","SAN MARTIN",146743,49503,42260,98822,121314
"CAJAMARCA","SAN MIGUEL",39653,18354,3463,38181,31898
"CAJAMARCA","SAN PABLO",18527,9781,1431,17931,13670
"PUNO","SAN ROMAN",220844,151974,78984,95169,184585
"LA LIBERTAD","SANCHEZ CARRION",110055,33875,12691,114892,86314
"PUNO","SANDIA",41947,27808,7432,35268,35285
"ANCASH","SANTA",356727,119916,111257,173084,279888
"CAJAMARCA","SANTA CRUZ",32122,13949,2876,29075,24736
"LA LIBERTAD","SANTIAGO DE CHUCO",39189,13560,2587,38084,31627
"JUNIN","SATIPO",128701,46149,17819,138730,120365
"PIURA","SECHURA",53845,16243,14810,41264,46030
"ANCASH","SIHUAS",21668,9602,1235,23210,16401
"AYACUCHO","SUCRE",7708,3425,1228,7324,6149
"PIURA","SULLANA",243023,50265,61501,158581,198701
"TACNA","TACNA",262229,141357,85374,94275,196492
"MADRE DE DIOS","TAHUAMANU",7981,3328,2145,5599,7387
"PIURA","TALARA",107029,32122,33251,51551,93725
"MADRE DE DIOS","TAMBOPATA",96119,48146,25588,52966,67061
"TACNA","TARATA",6308,3989,633,3900,4558
"JUNIN","TARMA",73433,26099,20843,47186,60192
"HUANCAVELICA","TAYACAJA",72692,39343,6667,69662,50756
"SAN MARTIN","TOCACHE",56829,25301,12041,41980,45262
"LA LIBERTAD","TRUJILLO",790766,189118,228445,306132,612235
"TUMBES","TUMBES",117309,31485,38232,87665,95269
"LORETO","UCAYALI",44525,13163,3781,40367,28659
"CUSCO","URUBAMBA",54574,35261,9165,32295,38628
"AYACUCHO","VICTOR FAJARDO",16777,8745,2561,15241,13637
"AYACUCHO","VILCAS HUAMAN",15873,8199,1528,14369,11486
"LA LIBERTAD","VIRU",68712,27807,16469,30972,59415
"HUANUCO","YAROWILCA",24572,12590,638,18033,11790
"JUNIN","YAULI",29839,12994,9086,8501,27791
"LIMA","YAUYOS",21280,507,2657,11826,14720
"ANCASH","YUNGAY",43850,19705,4790,40007,33013
"PUNO","YUNGUYO",30608,19071,7660,19377,27056
"TUMBES","ZARUMILLA",35121,6820,12107,32122,29848
